完本感应: https://www.xbiquge.bz/book/46864/40109419.html
大结局: https://www.xbiquge.bz/book/46864/40109418.html
第5044章、新手村与NPC: https://www.xbiquge.bz/book/46864/40109417.html
第5043章、诸位、玩过虚拟游戏吗？: https://www.xbiquge.bz/book/46864/40109416.html
第5042章、物是人非: https://www.xbiquge.bz/book/46864/40109415.html
第5041章、篡位者罗辑（三）: https://www.xbiquge.bz/book/46864/40109414.html
第5040章、篡位者罗辑（二）: https://www.xbiquge.bz/book/46864/40109413.html
第5039章、篡位者罗辑: https://www.xbiquge.bz/book/46864/40109412.html
第5038章、降临: https://www.xbiquge.bz/book/46864/40109411.html
第5037章、卡巴拉生命之树: https://www.xbiquge.bz/book/46864/40109410.html
第5036章、载体: https://www.xbiquge.bz/book/46864/40109409.html
第5035章、灭世倒计时: https://www.xbiquge.bz/book/46864/40109408.html
第148章 转火: https://www.xbiquge.bz/book/46864/29108404.html
第149章 策略: https://www.xbiquge.bz/book/46864/29108405.html
第150章 殚精竭虑: https://www.xbiquge.bz/book/46864/29108406.html
第151章 发狠的双方: https://www.xbiquge.bz/book/46864/29108407.html
第152章 孤注一掷: https://www.xbiquge.bz/book/46864/29108408.html
第153章 城门之战: https://www.xbiquge.bz/book/46864/29108409.html
第154章 兵种转换: https://www.xbiquge.bz/book/46864/29108410.html
第155章 反攻开始: https://www.xbiquge.bz/book/46864/29108411.html
第156章 骑兵突袭: https://www.xbiquge.bz/book/46864/29108412.html
第157章 骑兵首领: https://www.xbiquge.bz/book/46864/29108413.html
第158章 不怀好意: https://www.xbiquge.bz/book/46864/29108414.html
第159章 骑兵首领的身份: https://www.xbiquge.bz/book/46864/29108415.html
第160章 重病: https://www.xbiquge.bz/book/46864/29108416.html
第161章 俘虏: https://www.xbiquge.bz/book/46864/29108417.html
第162章 套路里面居然还有套路: https://www.xbiquge.bz/book/46864/29108418.html
第163章 猛将激斗: https://www.xbiquge.bz/book/46864/29108419.html
第164章 绝杀: https://www.xbiquge.bz/book/46864/29108420.html
第165章 死亡或投降: https://www.xbiquge.bz/book/46864/29108421.html
第166章 干脆的选择: https://www.xbiquge.bz/book/46864/29108422.html
第167章 价码: https://www.xbiquge.bz/book/46864/29108423.html
第168章 支援: https://www.xbiquge.bz/book/46864/29108424.html
第169章 援兵: https://www.xbiquge.bz/book/46864/29108425.html
第170章 追踪与锁定: https://www.xbiquge.bz/book/46864/29108426.html
第171章 咬饵: https://www.xbiquge.bz/book/46864/29108427.html
第172章 罗辑的杀意: https://www.xbiquge.bz/book/46864/29108428.html
第173章 变数: https://www.xbiquge.bz/book/46864/29108429.html
第174章 神来一笔: https://www.xbiquge.bz/book/46864/29108430.html
第175章 士气压制: https://www.xbiquge.bz/book/46864/29108431.html
第176章 攻心计: https://www.xbiquge.bz/book/46864/29108432.html
第177章 决意的刀: https://www.xbiquge.bz/book/46864/29108433.html
第178章 逃离那个世界: https://www.xbiquge.bz/book/46864/29108434.html
第179章 共鸣: https://www.xbiquge.bz/book/46864/29108435.html
第180章 不准瞪他: https://www.xbiquge.bz/book/46864/29108436.html
第181章 开工: https://www.xbiquge.bz/book/46864/29108437.html
第182章 白泽要赚钱: https://www.xbiquge.bz/book/46864/29108438.html
第183章 整个人都傻了: https://www.xbiquge.bz/book/46864/29108439.html
第184章 双方动静: https://www.xbiquge.bz/book/46864/29108440.html
第185章 价值与耐心: https://www.xbiquge.bz/book/46864/29108441.html
第186章 土包子进城: https://www.xbiquge.bz/book/46864/29108442.html
第187章 第四分城的安排: https://www.xbiquge.bz/book/46864/29108443.html
第188章 骑兵出动: https://www.xbiquge.bz/book/46864/29108444.html
第189章 异变: https://www.xbiquge.bz/book/46864/29108445.html
第190章 段位排名: https://www.xbiquge.bz/book/46864/29108446.html
第191章 笨办法: https://www.xbiquge.bz/book/46864/29108447.html
第192章 袭击: https://www.xbiquge.bz/book/46864/29108448.html
第193章 被套路了？: https://www.xbiquge.bz/book/46864/29108449.html
第194章 攻城: https://www.xbiquge.bz/book/46864/29108450.html
第195章 碾压式的破坏力: https://www.xbiquge.bz/book/46864/29108451.html
第196章 想太多和远见: https://www.xbiquge.bz/book/46864/29108452.html
第197章 霸者之姿: https://www.xbiquge.bz/book/46864/29108453.html
第198章 烧杀抢掠时间: https://www.xbiquge.bz/book/46864/29108454.html
第199章 为所欲为的配置: https://www.xbiquge.bz/book/46864/29108455.html
第200章 征服王: https://www.xbiquge.bz/book/46864/29108456.html
第201章 人口暴涨: https://www.xbiquge.bz/book/46864/29108457.html
第202章 溜了溜了: https://www.xbiquge.bz/book/46864/29108458.html
第203章 两件事: https://www.xbiquge.bz/book/46864/29108459.html
第204章: https://www.xbiquge.bz/book/46864/29108460.html
第205章 防患于未然: https://www.xbiquge.bz/book/46864/29108462.html
第206章 盛夏: https://www.xbiquge.bz/book/46864/29108463.html
第207章 难受？不难受？: https://www.xbiquge.bz/book/46864/29108464.html
第208章 今天我怎么就那么忙呢？: https://www.xbiquge.bz/book/46864/29108465.html
第209章 跨越: https://www.xbiquge.bz/book/46864/29108466.html
第210章 马贼: https://www.xbiquge.bz/book/46864/29108467.html
第211章 草原的夜晚: https://www.xbiquge.bz/book/46864/29108468.html
第212章 布日固德: https://www.xbiquge.bz/book/46864/29108469.html
第213章 骑兵和步兵: https://www.xbiquge.bz/book/46864/29108470.html
第214章 盾斧兵罗勇: https://www.xbiquge.bz/book/46864/29108471.html
第215章 追杀与骑射: https://www.xbiquge.bz/book/46864/29108472.html
第216章 又开始出血啦！: https://www.xbiquge.bz/book/46864/29108473.html
第217章 领土判定: https://www.xbiquge.bz/book/46864/29108474.html
第218章 推进的方阵: https://www.xbiquge.bz/book/46864/29108475.html
第219章 白泽的布局: https://www.xbiquge.bz/book/46864/29108476.html
第220章 用人不当: https://www.xbiquge.bz/book/46864/29108477.html
第221章 俯首称臣: https://www.xbiquge.bz/book/46864/29108478.html
第222章 视察: https://www.xbiquge.bz/book/46864/29108479.html
第223章 燎原烈火般的骏马: https://www.xbiquge.bz/book/46864/29108480.html
第224章 心情大好: https://www.xbiquge.bz/book/46864/29108481.html
第225章 双赢局面: https://www.xbiquge.bz/book/46864/29108482.html
第226章 青铜时代: https://www.xbiquge.bz/book/46864/29108483.html
第227章 段位晋升: https://www.xbiquge.bz/book/46864/29108484.html
第228章 青铜段位首战: https://www.xbiquge.bz/book/46864/29108485.html
第229章 对面有个挂逼: https://www.xbiquge.bz/book/46864/29108486.html
第230章 坦克阵: https://www.xbiquge.bz/book/46864/29108487.html
第231章 双方的打法: https://www.xbiquge.bz/book/46864/29108488.html
第232章 针针见血的绝杀: https://www.xbiquge.bz/book/46864/29108489.html
第233章 有点小肉痛: https://www.xbiquge.bz/book/46864/29108490.html
第234章 火攻: https://www.xbiquge.bz/book/46864/29108491.html
第235章 文明征服者: https://www.xbiquge.bz/book/46864/29108492.html
第236章 城池安置: https://www.xbiquge.bz/book/46864/29108493.html
第237章 利益集团: https://www.xbiquge.bz/book/46864/29108494.html
第238章 猜: https://www.xbiquge.bz/book/46864/29108495.html
第239章 想想还真是有点小激动: https://www.xbiquge.bz/book/46864/29108496.html
第240章 兵种冲突: https://www.xbiquge.bz/book/46864/29108497.html
第241章 破城: https://www.xbiquge.bz/book/46864/29108498.html
第242章 大军压境: https://www.xbiquge.bz/book/46864/29108499.html
第243章 没有任何温度的火焰: https://www.xbiquge.bz/book/46864/29108500.html
第244章 骑战: https://www.xbiquge.bz/book/46864/29108501.html
第245章 周旋: https://www.xbiquge.bz/book/46864/29108502.html
第246章 恶战与突破口: https://www.xbiquge.bz/book/46864/29108503.html
第247章 撤退的号角: https://www.xbiquge.bz/book/46864/29108504.html
第248章 战后的西原城: https://www.xbiquge.bz/book/46864/29108505.html
第249章 即刻出征: https://www.xbiquge.bz/book/46864/29108506.html
第250章 两方准备: https://www.xbiquge.bz/book/46864/29108507.html
第251章 行军与推进: https://www.xbiquge.bz/book/46864/29108508.html
第252章 士气流打法: https://www.xbiquge.bz/book/46864/29108509.html
第253章 杀红了眼: https://www.xbiquge.bz/book/46864/29108510.html
第254章 还有伏兵？: https://www.xbiquge.bz/book/46864/29108511.html
第255章 杀: https://www.xbiquge.bz/book/46864/29108512.html
第256章 军葬: https://www.xbiquge.bz/book/46864/29108513.html
第257章 来的正好: https://www.xbiquge.bz/book/46864/29108514.html
第258章 积极备战: https://www.xbiquge.bz/book/46864/29108515.html
第259章 刘猛的见解: https://www.xbiquge.bz/book/46864/29108516.html
第260章 全面战争: https://www.xbiquge.bz/book/46864/29108517.html
第261章 全面战争开打: https://www.xbiquge.bz/book/46864/29108518.html
第262章 攻占城池: https://www.xbiquge.bz/book/46864/29108519.html
第263章 周易: https://www.xbiquge.bz/book/46864/29108520.html
第264章 诈开城门（上）: https://www.xbiquge.bz/book/46864/29108521.html
第265章 诈开城门（下）: https://www.xbiquge.bz/book/46864/29108522.html
第266章 披着人皮的凶兽: https://www.xbiquge.bz/book/46864/29108523.html
第267章 赏赐: https://www.xbiquge.bz/book/46864/29108524.html
第268章 反客为主: https://www.xbiquge.bz/book/46864/29108525.html
第269章 御医心里苦: https://www.xbiquge.bz/book/46864/29108526.html
第270章 周东南的应对: https://www.xbiquge.bz/book/46864/29108527.html
第271章 布置: https://www.xbiquge.bz/book/46864/29108528.html
第272章 援兵抵达: https://www.xbiquge.bz/book/46864/29108529.html
第273章 周东南的杀手锏: https://www.xbiquge.bz/book/46864/29108530.html
第274章 战术布置: https://www.xbiquge.bz/book/46864/29108531.html
第275章 松山城: https://www.xbiquge.bz/book/46864/29108532.html
第276章 城墙之战: https://www.xbiquge.bz/book/46864/29108533.html
第277章 方案二: https://www.xbiquge.bz/book/46864/29108534.html
第278章 侦查手段: https://www.xbiquge.bz/book/46864/29108535.html
第279章 行军: https://www.xbiquge.bz/book/46864/29108536.html
第280章 稳健派的李阔: https://www.xbiquge.bz/book/46864/29108537.html
第281章 三弓床弩VS攻城塔: https://www.xbiquge.bz/book/46864/29108538.html
第282章 分化的战场: https://www.xbiquge.bz/book/46864/29108539.html
第283章 李阔的决策: https://www.xbiquge.bz/book/46864/29108540.html
第284章 姗姗来迟: https://www.xbiquge.bz/book/46864/29108541.html
第285章 他开始慌了: https://www.xbiquge.bz/book/46864/29108542.html
第286章 败家玩意: https://www.xbiquge.bz/book/46864/29108543.html
第287章 民心所向？: https://www.xbiquge.bz/book/46864/29108544.html
第288章 一进一退: https://www.xbiquge.bz/book/46864/29108545.html
第289章 步步针对: https://www.xbiquge.bz/book/46864/29108546.html
第290章 慈不掌兵，情不立事: https://www.xbiquge.bz/book/46864/29108547.html
第291章 你好像很生气？: https://www.xbiquge.bz/book/46864/29108548.html
第292章 意外之喜: https://www.xbiquge.bz/book/46864/29108549.html
第293章 明镜司: https://www.xbiquge.bz/book/46864/29108550.html
第294章 张汤: https://www.xbiquge.bz/book/46864/29108551.html
第295章 名号: https://www.xbiquge.bz/book/46864/29108552.html
第296章 吹个牛逼: https://www.xbiquge.bz/book/46864/29108553.html
第297章 恶魔般的天才: https://www.xbiquge.bz/book/46864/29108554.html
第298章 推广: https://www.xbiquge.bz/book/46864/29108555.html
第299章 花钱的机会: https://www.xbiquge.bz/book/46864/29108556.html
第300章 小祖宗: https://www.xbiquge.bz/book/46864/29108557.html
第301章 设计图: https://www.xbiquge.bz/book/46864/29108558.html
第302章 麻烦的状况: https://www.xbiquge.bz/book/46864/29108559.html
第303章 审讯: https://www.xbiquge.bz/book/46864/29108560.html
第304章 证明的机会: https://www.xbiquge.bz/book/46864/29108561.html
第305章 杀一儆百: https://www.xbiquge.bz/book/46864/29108562.html
第306章 制度安排: https://www.xbiquge.bz/book/46864/29108563.html
第307章 来自于光棍型玩家的试探: https://www.xbiquge.bz/book/46864/29108564.html
第308章 慢下来的玩家们: https://www.xbiquge.bz/book/46864/29108565.html
第309章 良策: https://www.xbiquge.bz/book/46864/29108566.html
第310章 玉器: https://www.xbiquge.bz/book/46864/29108567.html
第311章 郭嘉很忧郁: https://www.xbiquge.bz/book/46864/29108568.html
第312章 未知的试探: https://www.xbiquge.bz/book/46864/29108569.html
第313章 任性的陛下: https://www.xbiquge.bz/book/46864/29108570.html
第314章 狩猎恶虎: https://www.xbiquge.bz/book/46864/29108571.html
第315章 消息传播: https://www.xbiquge.bz/book/46864/29108572.html
第316章 接见: https://www.xbiquge.bz/book/46864/29108573.html
第317章 接见沈俊: https://www.xbiquge.bz/book/46864/29108574.html
第318章 君子如玉，贵其雅之: https://www.xbiquge.bz/book/46864/29108575.html
第319章 偶遇: https://www.xbiquge.bz/book/46864/29108576.html
第320章 姜太公钓鱼愿者上钩: https://www.xbiquge.bz/book/46864/29108577.html
第321章 皇帝陛下的爆肝工作室: https://www.xbiquge.bz/book/46864/29108578.html
第322章 饭桌即是战场: https://www.xbiquge.bz/book/46864/29108579.html
第323章 哪里怪怪的: https://www.xbiquge.bz/book/46864/29108580.html
第324章 矛盾组合（上）: https://www.xbiquge.bz/book/46864/29108581.html
第325章 矛盾组合（下）: https://www.xbiquge.bz/book/46864/29108582.html
第326章 敌将受死: https://www.xbiquge.bz/book/46864/29108583.html
第327章 拖刀斩: https://www.xbiquge.bz/book/46864/29108584.html
第328章 诈: https://www.xbiquge.bz/book/46864/29108585.html
第329章 我们商量个事: https://www.xbiquge.bz/book/46864/29108586.html
第330章 就说我不在: https://www.xbiquge.bz/book/46864/29108587.html
第331章 好事连连: https://www.xbiquge.bz/book/46864/29108588.html
第332章 没有，我认真的: https://www.xbiquge.bz/book/46864/29108589.html
第333章 狼烟: https://www.xbiquge.bz/book/46864/29108591.html
第334章 蛮子: https://www.xbiquge.bz/book/46864/29108592.html
第335章 你们懂得: https://www.xbiquge.bz/book/46864/29108593.html
第336章 灵感涌现: https://www.xbiquge.bz/book/46864/29108594.html
第337章 黑虎旗: https://www.xbiquge.bz/book/46864/29108595.html
第338章 狠角色: https://www.xbiquge.bz/book/46864/29108596.html
第339章 怪物袭来: https://www.xbiquge.bz/book/46864/29108597.html
第340章 象人: https://www.xbiquge.bz/book/46864/29108598.html
第341章 兽人攻城: https://www.xbiquge.bz/book/46864/29108599.html
第342章 权宜之计: https://www.xbiquge.bz/book/46864/29108600.html
第343章 赵磐的双刃剑: https://www.xbiquge.bz/book/46864/29108601.html
第344章 短兵相接: https://www.xbiquge.bz/book/46864/29108602.html
第345章 无声的咆哮: https://www.xbiquge.bz/book/46864/29108603.html
第346章 李克: https://www.xbiquge.bz/book/46864/29108604.html
第347章 扬长避短: https://www.xbiquge.bz/book/46864/29108605.html
第348章 突围: https://www.xbiquge.bz/book/46864/29108606.html
第349章 坐立难安: https://www.xbiquge.bz/book/46864/29108607.html
第350章 狼族的传统: https://www.xbiquge.bz/book/46864/29108608.html
第351章 抵达前线: https://www.xbiquge.bz/book/46864/29108609.html
第352章 李克的一己之见: https://www.xbiquge.bz/book/46864/29108610.html
第353章 预防针: https://www.xbiquge.bz/book/46864/29108611.html
第354章 兵力布置与分析: https://www.xbiquge.bz/book/46864/29108612.html
第355章 顾忌: https://www.xbiquge.bz/book/46864/29108613.html
第356章 各自的算盘: https://www.xbiquge.bz/book/46864/29108614.html
第357章 检查尸体: https://www.xbiquge.bz/book/46864/29108615.html
第358章 知道这是什么吗？: https://www.xbiquge.bz/book/46864/29108616.html
第359章 吕父吕母: https://www.xbiquge.bz/book/46864/29108617.html
第360章 再次攻城: https://www.xbiquge.bz/book/46864/29108618.html
第361章 哀兵必胜: https://www.xbiquge.bz/book/46864/29108620.html
第362章 出招 接招: https://www.xbiquge.bz/book/46864/29108622.html
第363章 人类？: https://www.xbiquge.bz/book/46864/29108624.html
第364章 大脑在颤抖: https://www.xbiquge.bz/book/46864/29108625.html
第365章 一波血崩: https://www.xbiquge.bz/book/46864/29108626.html
第366章 森然寒芒: https://www.xbiquge.bz/book/46864/29108627.html
第367章 骑兵纵横: https://www.xbiquge.bz/book/46864/29108628.html
第368章 原形毕露: https://www.xbiquge.bz/book/46864/29108629.html
第369章 李克与狼族: https://www.xbiquge.bz/book/46864/29108630.html
第370章 来龙去脉: https://www.xbiquge.bz/book/46864/29108631.html
第371章 不怕一万，就怕万一: https://www.xbiquge.bz/book/46864/29108632.html
第372章 心心念念: https://www.xbiquge.bz/book/46864/29108633.html
第373章 懂？: https://www.xbiquge.bz/book/46864/29108634.html
第374章 返回明镜城: https://www.xbiquge.bz/book/46864/29108635.html
第375章 纠结的问题: https://www.xbiquge.bz/book/46864/29108636.html
第376章 我就是突然想捶一下桌子: https://www.xbiquge.bz/book/46864/29108637.html
