新书《恭喜你被逮捕了》！！！: https://www.xbiquge.bz/book/51654/40671895.html
新书《我在灰雾时代稳健加点》: https://www.xbiquge.bz/book/51654/40671894.html
完本感言！: https://www.xbiquge.bz/book/51654/40671893.html
第十七章 这操作，真吃不下了！: https://www.xbiquge.bz/book/51654/33623242.html
第十八章 天堂没有劫: https://www.xbiquge.bz/book/51654/33623244.html
第十九章 峰皇の教诲！: https://www.xbiquge.bz/book/51654/33623245.html
第二十章 峰子哥对不起！: https://www.xbiquge.bz/book/51654/33623246.html
第二十一章 毁了十五亿人的胃！: https://www.xbiquge.bz/book/51654/33623247.html
第二十二章 峡谷带诗人！: https://www.xbiquge.bz/book/51654/33623248.html
第二十三章 一刀断水流: https://www.xbiquge.bz/book/51654/33623249.html
第二十四章 一生之敌？（求推荐）: https://www.xbiquge.bz/book/51654/33623250.html
第二十五章 一秒落花，四剑破阵！（上）求推荐: https://www.xbiquge.bz/book/51654/33623251.html
第二十六章 一秒落花，四剑破阵！（下）求推荐: https://www.xbiquge.bz/book/51654/33623252.html
第二十七章 你退半步的动作是认真的吗？: https://www.xbiquge.bz/book/51654/33623253.html
第二十八章 我开始有点怀疑了: https://www.xbiquge.bz/book/51654/33623254.html
第二十九章 中华剑仙！（上）: https://www.xbiquge.bz/book/51654/33623255.html
第三十章 中华剑仙！（下）: https://www.xbiquge.bz/book/51654/33623256.html
第三十一章 我曾: https://www.xbiquge.bz/book/51654/33623257.html
第三十二章 目标：世界第一王者！: https://www.xbiquge.bz/book/51654/33623258.html
第三十三章 你的好友狂小峰已上线！: https://www.xbiquge.bz/book/51654/33623259.html
第三十四章 剑指S13！: https://www.xbiquge.bz/book/51654/33623260.html
第三十五章 有杀气！: https://www.xbiquge.bz/book/51654/33623261.html
第三十六章 SKT最佳第六人！: https://www.xbiquge.bz/book/51654/33623262.html
第三十七章 宁也配玩薇恩？: https://www.xbiquge.bz/book/51654/33623263.html
第三十八章 连夜扛着猪跑了（求推荐）: https://www.xbiquge.bz/book/51654/33623264.html
第三十九章 稳如老狗（求推荐）: https://www.xbiquge.bz/book/51654/33623265.html
第四十章 所谓【传奇】！: https://www.xbiquge.bz/book/51654/33623266.html
第四十一章 万恶之源！: https://www.xbiquge.bz/book/51654/33623267.html
第四十二章 兄弟你练过的啊！: https://www.xbiquge.bz/book/51654/33623268.html
第四十三章 真就熬死水友？: https://www.xbiquge.bz/book/51654/33623269.html
第四十四章 世界第一下饭王！: https://www.xbiquge.bz/book/51654/33623270.html
第四十五章 大师晋级赛！: https://www.xbiquge.bz/book/51654/33623271.html
第四十六章 最强超凡之战！: https://www.xbiquge.bz/book/51654/33623272.html
第四十七章 人送外号鬼脚七: https://www.xbiquge.bz/book/51654/33623273.html
第四十八章 Dop4上当了！: https://www.xbiquge.bz/book/51654/33623274.html
第四十九章 翩若惊鸿，矫若游龙！: https://www.xbiquge.bz/book/51654/33623275.html
第五十章 这个盲仔不太...: https://www.xbiquge.bz/book/51654/33623276.html
第五十一章 穿越时空的裂隙！: https://www.xbiquge.bz/book/51654/33623277.html
第五十二章 此时，一位盲仔偶然进场（求推荐）: https://www.xbiquge.bz/book/51654/33623278.html
第五十三章 龙抬头！（求推荐）: https://www.xbiquge.bz/book/51654/33623279.html
第五十四章 Q都会Q歪来？: https://www.xbiquge.bz/book/51654/33623280.html
第五十五章 消逝的光芒！: https://www.xbiquge.bz/book/51654/33623281.html
第五十六章 我果然还是活成了你的样子: https://www.xbiquge.bz/book/51654/33623282.html
第五十七章 亦是恩赐亦是劫？（求推荐）: https://www.xbiquge.bz/book/51654/33623283.html
第五十八章 三斩SKT？（求推荐）: https://www.xbiquge.bz/book/51654/33623284.html
第五十九章 胡不肉和李不亏！（求推荐）: https://www.xbiquge.bz/book/51654/33623285.html
第六十章 腿给你打折了！: https://www.xbiquge.bz/book/51654/33623286.html
第六十一章 暖心主播关注了！（求推荐）: https://www.xbiquge.bz/book/51654/33623287.html
第六十二章 这炮就歪得离谱！: https://www.xbiquge.bz/book/51654/33623288.html
第六十三章 大兄弟，你信风水吗？: https://www.xbiquge.bz/book/51654/33623289.html
第六十四章 听哥的，出点肉吧: https://www.xbiquge.bz/book/51654/33623290.html
第六十五章 仙剑猪侠传！（求推荐）: https://www.xbiquge.bz/book/51654/33623291.html
第六十六章 他在我心里一直稳得像座山（求推荐）: https://www.xbiquge.bz/book/51654/33623292.html
第六十七章 我们是大师！（求推荐）: https://www.xbiquge.bz/book/51654/33623293.html
第六十八章 前尘往事成烟云: https://www.xbiquge.bz/book/51654/33623294.html
第六十九章 新的风暴即将到来！: https://www.xbiquge.bz/book/51654/33623295.html
第七十章 峡谷之巅谁为峰！: https://www.xbiquge.bz/book/51654/33623296.html
第七十一章 冲冲冲！: https://www.xbiquge.bz/book/51654/33623297.html
第七十二章 霸榜！: https://www.xbiquge.bz/book/51654/33623298.html
第七十三章 一剑一诺！: https://www.xbiquge.bz/book/51654/33623299.html
第七十四章 梦回S6，剑来！（求首订！！！）: https://www.xbiquge.bz/book/51654/33623301.html
第七十五章 这世上有一种上单是没有...（求订阅！！！）: https://www.xbiquge.bz/book/51654/33623302.html
第七十六章 断刃绣花，一剑一念！（求订阅！！！）: https://www.xbiquge.bz/book/51654/33623303.html
第七十七章 咫尺风雷，这把剑开始宰人了！（求订阅求月票）: https://www.xbiquge.bz/book/51654/33623304.html
第七十八章 略C略C！（第五更求订阅求月票，后面还有）: https://www.xbiquge.bz/book/51654/33623305.html
第七十九章 如果我俩角色互换...（第六更求订阅求月票，后面还有）: https://www.xbiquge.bz/book/51654/33623306.html
第八十章 管你几路来，我只一路去！（第七更求订阅求月票，后面还有）: https://www.xbiquge.bz/book/51654/33623307.html
第八十一章 一石激起浪千层！（第八更求推荐求月票）: https://www.xbiquge.bz/book/51654/33623308.html
第八十二章 兄弟，你有没有考虑过回来？（第一更求订阅求月票）: https://www.xbiquge.bz/book/51654/33623309.html
第八十三章 锅锅不背锅！（第二更求订阅求月票，后面还有）: https://www.xbiquge.bz/book/51654/33623310.html
第八十四章 峰皇涅槃！（求订阅，感谢yyww6685955盟主赏！）: https://www.xbiquge.bz/book/51654/33623311.html
第八十五章 再战峡谷之巅！（第四更求订阅，感谢风亦飘渺盟主赏）: https://www.xbiquge.bz/book/51654/33623313.html
第八十六章 我们是第一！（万更求订阅求月票）: https://www.xbiquge.bz/book/51654/33623314.html
第八十七章 峰收时刻！（第一更求订阅求月票）: https://www.xbiquge.bz/book/51654/33623315.html
第八十八章 复联的最后拼图？（第二更求订阅求月票，后面还有）: https://www.xbiquge.bz/book/51654/33623317.html
第八十九章 全华班夺冠？（第三更求订阅求月票）: https://www.xbiquge.bz/book/51654/33623318.html
第九十章 KG上当了！（第四更订阅求月票，后面还有）: https://www.xbiquge.bz/book/51654/33623319.html
第九十一章 还搁这Rap呢？（万更求订阅求月票）: https://www.xbiquge.bz/book/51654/33623320.html
第九十二章 峰哥，对唔住！（第一更求订阅求月票）: https://www.xbiquge.bz/book/51654/33623321.html
第九十三章 峰子哥上当了！（第二更求月票求订阅，后面还有）: https://www.xbiquge.bz/book/51654/33623322.html
第九十四章 吸穿大动脉！（大章，万更求订阅求月票！）: https://www.xbiquge.bz/book/51654/33623323.html
第九十五章 如同天上降魔主！（大章求订阅求月票）: https://www.xbiquge.bz/book/51654/33623324.html
第九十六章 真是人间太岁爷！: https://www.xbiquge.bz/book/51654/33623326.html
第九十七章 峰哥又在说笑了（求订阅求月票）: https://www.xbiquge.bz/book/51654/33623327.html
第九十八章 活着的才配补刀（求订阅求月票）: https://www.xbiquge.bz/book/51654/33623328.html
第九十九章 成为海贼王的男人！（大章，万更求订阅求月票！）: https://www.xbiquge.bz/book/51654/33623329.html
第一百章 中野联动，双人R闪！（大章求订阅求月票）: https://www.xbiquge.bz/book/51654/33623330.html
第一百零一章 浴火峰皇，四带一天雷闪！（大章，万更求订阅求月票！）: https://www.xbiquge.bz/book/51654/33623331.html
第一百零二章 海贼王！（求订阅求月票）: https://www.xbiquge.bz/book/51654/33623332.html
第一百零三章 个人稳健偏发育（求订阅求月票）: https://www.xbiquge.bz/book/51654/33623334.html
第一百零四章 放松训练！（万更求订阅求月票）: https://www.xbiquge.bz/book/51654/33623335.html
第一百零五章 来自约德尔的唤梦者！（大章双倍求月票求订阅）: https://www.xbiquge.bz/book/51654/33623336.html
第一百零六章 四Buff开局？（双倍求月票求订阅）: https://www.xbiquge.bz/book/51654/33623337.html
第一百零七章 巧合还是意识？（双倍求月票求订阅）: https://www.xbiquge.bz/book/51654/33623339.html
第一百零八章 谁是突破口？（双倍求月票求订阅）: https://www.xbiquge.bz/book/51654/33623341.html
第一百零九章 真就头铁混到底了？（大章双倍求月票求订阅！）: https://www.xbiquge.bz/book/51654/33627569.html
第一百一十章 湮灭级阵容！（双倍求订阅求月票）: https://www.xbiquge.bz/book/51654/33640746.html
第一百一十一章 谁说我只会二级抓下？（双倍求月票求订阅）: https://www.xbiquge.bz/book/51654/33642396.html
第一百一十二章 你的野区我养猪！（双倍求月票求订阅）: https://www.xbiquge.bz/book/51654/33643265.html
第一百一十三章 上路小雷神！（双倍求月票求订阅）: https://www.xbiquge.bz/book/51654/33645101.html
第一百一十四章 螺旋飞升！（上）双倍求月票求订阅！: https://www.xbiquge.bz/book/51654/33645788.html
第一百一十五章 螺旋飞升！（下）双倍求月票求订阅: https://www.xbiquge.bz/book/51654/33647810.html
第一百一十六章 雷霆与河流之王！（双倍求月票求订阅）: https://www.xbiquge.bz/book/51654/33652979.html
第一百一十七章 雷神附体，极致反攻！（双倍求月票求订阅）: https://www.xbiquge.bz/book/51654/33656852.html
第一百一十八章 一声峰哥，一生峰哥！（双倍求月票求订阅）: https://www.xbiquge.bz/book/51654/33658199.html
第一百一十九章 风雷震九州！（双倍求月票求订阅）: https://www.xbiquge.bz/book/51654/33658971.html
第一百二十章 君子藏器于身！（双倍求月票求订阅）: https://www.xbiquge.bz/book/51654/33663554.html
第一百二十一章 宿命重逢，恩怨相聚！: https://www.xbiquge.bz/book/51654/33669832.html
无题: https://www.xbiquge.bz/book/51654/33669833.html
第一百二十三章 大力出奇迹！（双倍求月票求订阅）: https://www.xbiquge.bz/book/51654/33680627.html
第一百二十四章 谁还没个传统艺能: https://www.xbiquge.bz/book/51654/33684424.html
第一百二十五章 年前最后一战！（双倍求月票求订阅）: https://www.xbiquge.bz/book/51654/33684425.html
第一百二十六章 难忘今宵！（双倍求月票求订阅）: https://www.xbiquge.bz/book/51654/33687509.html
第一百二十七章 针尖对麦芒！（大章双倍求月票求订阅）: https://www.xbiquge.bz/book/51654/33689806.html
第一百二十八章 忍法替死偷头术！（万分感谢“烟雨红尘”的盟主支持）: https://www.xbiquge.bz/book/51654/33692403.html
第一百二十九章 飞雷神之术！（大章双倍最后一天求月票求订阅）: https://www.xbiquge.bz/book/51654/33695055.html
第一百三十章 什么叫峡谷巨星啊？（万分感谢“CzLB”的盟主支持！）: https://www.xbiquge.bz/book/51654/33699402.html
第一百三十一章 从小稳到大的杀神峰: https://www.xbiquge.bz/book/51654/33702094.html
第一百三十二章 自绝后路？: https://www.xbiquge.bz/book/51654/33706162.html
第一百三十三章 向死而生！: https://www.xbiquge.bz/book/51654/33706163.html
第一百三十四章 一峰之威，竟至于斯！（大章求月票求订阅）: https://www.xbiquge.bz/book/51654/33720753.html
第一百三十五章 LPL最新计量单位！: https://www.xbiquge.bz/book/51654/33724489.html
第一百三十六章 杰斯很好打剑魔: https://www.xbiquge.bz/book/51654/33727528.html
第一百三十七章 逛该型上单: https://www.xbiquge.bz/book/51654/33729278.html
第一百三十八章 这波就问你亏不亏！（大章求月票求订阅）: https://www.xbiquge.bz/book/51654/33745271.html
第一百三十九章 那剑，悲鸣赞叹！（求月票求订阅）: https://www.xbiquge.bz/book/51654/33753504.html
第一百四十章 永不加班！: https://www.xbiquge.bz/book/51654/33755535.html
第一百四十一章 上路炸了必是打野锅！: https://www.xbiquge.bz/book/51654/33764281.html
第一百四十二章 剑指MSI（万分感谢“小丑V”的盟主支持！）: https://www.xbiquge.bz/book/51654/33765702.html
第一百四十三章 命运在我眼前分成两条直线: https://www.xbiquge.bz/book/51654/33771259.html
第一百四十四章 职业选手不过如此？: https://www.xbiquge.bz/book/51654/33774922.html
第一百四十五章 LPL的上单之战！: https://www.xbiquge.bz/book/51654/33776481.html
第一百四十六章 活成了自己最讨厌的样子: https://www.xbiquge.bz/book/51654/33780914.html
第一百四十七章 没有混子英雄，只有混子选手: https://www.xbiquge.bz/book/51654/33781858.html
第一百四十八章 这到底是什么“书”？（大章求订阅求月票）: https://www.xbiquge.bz/book/51654/33785522.html
第一百四十九章 万丈高楼平地起？: https://www.xbiquge.bz/book/51654/33786505.html
第一百五十章 TheShine的送死流赛恩？（求月票求订阅）: https://www.xbiquge.bz/book/51654/33790835.html
第一百五十一章 撕掉剧本的AG！（大章求月票求订阅）: https://www.xbiquge.bz/book/51654/33792537.html
第一百五十二章 五岳倒悬，山崩石裂！（求月票求订阅）: https://www.xbiquge.bz/book/51654/33795770.html
第一百五十三章 五岳倒悬，山崩石裂！（下）求月票求订阅: https://www.xbiquge.bz/book/51654/33796915.html
第一百五十四章 电竞公务员！（求月票求订阅）: https://www.xbiquge.bz/book/51654/33802609.html
第一百五十五章 谁才是真正的血魔？（求月票求订阅）: https://www.xbiquge.bz/book/51654/33803715.html
第一百五十六章 多行不E必自毙！: https://www.xbiquge.bz/book/51654/33812583.html
第一百五十七章 惨烈的开端！（求月票求订阅）: https://www.xbiquge.bz/book/51654/33812584.html
第一百五十八章 世界第一...摇人上单！（上）: https://www.xbiquge.bz/book/51654/33816148.html
第一百五十九章 世界第一...摇人上单！（下）求月票求订阅: https://www.xbiquge.bz/book/51654/33820207.html
第一百六十章 摇！我疯狂地摇！: https://www.xbiquge.bz/book/51654/33826366.html
第一百六十一章 禁奥义！血条消失术！（求月票求订阅）: https://www.xbiquge.bz/book/51654/33826367.html
第一百六十二章 闪现的伤害怎么那么高？: https://www.xbiquge.bz/book/51654/33835035.html
第一百六十三章 真正的猛男！（求月票求订阅）: https://www.xbiquge.bz/book/51654/33835036.html
第一百六十四章 LPL最强“上单双子星”？: https://www.xbiquge.bz/book/51654/33841684.html
第一百六十五章 白首相知犹按剑！（求月票求订阅）: https://www.xbiquge.bz/book/51654/33844428.html
第一百六十六章 时过境迁: https://www.xbiquge.bz/book/51654/33849980.html
第一百六十七章 峰子哥仗义啊！（日常求订阅求月票）: https://www.xbiquge.bz/book/51654/33849981.html
第一百六十八章 正名之战？（大章求月票求订阅）: https://www.xbiquge.bz/book/51654/33856564.html
第一百六十九章 意外之选: https://www.xbiquge.bz/book/51654/33861745.html
第一百七十章 新任务下达！（月末求月票求订阅）: https://www.xbiquge.bz/book/51654/33861754.html
第一百七十一章 风自上路起！（求月票求订阅）: https://www.xbiquge.bz/book/51654/33867719.html
第一百七十二章 起峰了！（第一更）: https://www.xbiquge.bz/book/51654/33871989.html
第一百七十三章 有恃无恐（第二更求月票求订阅）: https://www.xbiquge.bz/book/51654/33871990.html
第一百七十四章 就问你怎么杀？（第三更求订阅求月票）: https://www.xbiquge.bz/book/51654/33872901.html
第一百七十五章 狮子改吃素？（万更求订阅求月票）: https://www.xbiquge.bz/book/51654/33872902.html
第一百七十六章 孤儿索和灵虎救世！（第一更求订阅求月票）: https://www.xbiquge.bz/book/51654/33878005.html
第一百七十七章 谁敢横刀立马！（第二更求订阅求月票）: https://www.xbiquge.bz/book/51654/33878032.html
第一百七十八章 峰皇带秀，风不会停息！（第三更求月票求订阅）: https://www.xbiquge.bz/book/51654/33879035.html
第一百七十九章 与生俱来的统治力？: https://www.xbiquge.bz/book/51654/33886490.html
第一百八十章 对不起，有峰子哥真可以为所欲为！（求月票求订阅）: https://www.xbiquge.bz/book/51654/33886492.html
第一百八十一章 这个阵容...有内味了！（上）: https://www.xbiquge.bz/book/51654/33908084.html
第一百八十二章 这个阵容...有内味了！（下）: https://www.xbiquge.bz/book/51654/33908085.html
第一百八十三章 S6复盘赛？（上）: https://www.xbiquge.bz/book/51654/33913284.html
第一百八十四章 S6复盘赛？（下）: https://www.xbiquge.bz/book/51654/33913285.html
第一百八十五章 上路无敌法，七剑下天山！（求月票求订阅）: https://www.xbiquge.bz/book/51654/33918286.html
第一百八十六章 野区的剑芒！: https://www.xbiquge.bz/book/51654/33923261.html
第一百八十七章 胜利的曙光！（求月票求订阅）: https://www.xbiquge.bz/book/51654/33923262.html
第一百八十八章 世界名画，冰与火之剑！（大章求订阅）: https://www.xbiquge.bz/book/51654/33928509.html
第一百八十九章 摧城开山，LPL上空的一轮新月！（求月票求订阅）: https://www.xbiquge.bz/book/51654/33932388.html
第一百九十章 划破黑夜的新时代？（求月票求订阅）: https://www.xbiquge.bz/book/51654/33934086.html
第一百九十一章 今生第一次！: https://www.xbiquge.bz/book/51654/33942381.html
第一百九十二章 时光是最无情的毒药！（日常求月票求订阅）: https://www.xbiquge.bz/book/51654/33942382.html
第一百九十三章 那咱们LPL可不能落后啊！: https://www.xbiquge.bz/book/51654/33954230.html
第一百九十四章 心中有辅，万物皆辅！（求月票求订阅）: https://www.xbiquge.bz/book/51654/33954231.html
第一百九十五章 稳健如棍，越塔如峰！: https://www.xbiquge.bz/book/51654/33967608.html
第一百九十六章 叛逆の祖安人！: https://www.xbiquge.bz/book/51654/33967609.html
第一百九十七章 飞天爆杀流！: https://www.xbiquge.bz/book/51654/33986568.html
第一百九十八章 这个人怎么可以这么猛？（求月票求订阅）: https://www.xbiquge.bz/book/51654/33986569.html
第一百九十九章 峰哥圣经！: https://www.xbiquge.bz/book/51654/34001459.html
第二百章 单杀LPL所有上单？: https://www.xbiquge.bz/book/51654/34001460.html
第二百零一章 不斩无名！: https://www.xbiquge.bz/book/51654/34006729.html
第二百零二章 小组赛收官之战！: https://www.xbiquge.bz/book/51654/34006730.html
第二百零三章 两守护三游侠？（第一更）: https://www.xbiquge.bz/book/51654/34017210.html
第二百零四章 教打架队打架，教运营队运营！（第二更）: https://www.xbiquge.bz/book/51654/34017211.html
第二百零五章 羚羊挂角的布局！（第三更）: https://www.xbiquge.bz/book/51654/34017212.html
第二百零六章 蜘蛛泰坦，剑神疯了！（第四更求月票求订阅）: https://www.xbiquge.bz/book/51654/34017888.html
第二百零七章 巅峰互秀！: https://www.xbiquge.bz/book/51654/34022777.html
第二百零八章 他实在太稳健了！（第一更）: https://www.xbiquge.bz/book/51654/34025926.html
第二百零九章 回不去的峰子哥（第二更）: https://www.xbiquge.bz/book/51654/34028181.html
第二百一十章 好惨一薇恩（第三更）: https://www.xbiquge.bz/book/51654/34028182.html
第二百一十一章 影流猎手？: https://www.xbiquge.bz/book/51654/34038958.html
第二百一十二章 狂小峰给爷冲！: https://www.xbiquge.bz/book/51654/34038959.html
第二百一十三章 稳健峰！: https://www.xbiquge.bz/book/51654/34044928.html
第二百一十四章 峰子哥算了吧！（第一更）: https://www.xbiquge.bz/book/51654/34051164.html
第二百一十五章 杀杀杀！（第二更求订阅求月票）: https://www.xbiquge.bz/book/51654/34051165.html
第二百一十六章 终极铁分奴！（第三更）: https://www.xbiquge.bz/book/51654/34052296.html
第二百一十七章 剑仙VS剑神，我且与君战一场！（第四更求订阅求月票）: https://www.xbiquge.bz/book/51654/34052297.html
第二百一十八章 剑仙VS剑神，我且与君战一场！（下）: https://www.xbiquge.bz/book/51654/34056056.html
第二百一十九章 先有神后有仙？: https://www.xbiquge.bz/book/51654/34056057.html
第二百二十章 神仙打架，一派溪山千古秀！（上）: https://www.xbiquge.bz/book/51654/34063418.html
第二百二十一章 神仙打架，一派溪山千古秀！（下）月末求订阅求月票: https://www.xbiquge.bz/book/51654/34063419.html
第二百二十二章 峡谷带剑仙！: https://www.xbiquge.bz/book/51654/34073236.html
第二百二十三章 到底谁先动的手？（求月票求订阅）: https://www.xbiquge.bz/book/51654/34073237.html
第二百二十四章 新月高悬，王朝初现！（大章月末求订阅求月票）: https://www.xbiquge.bz/book/51654/34092348.html
第二百二十五章 LPL第一峰吹！: https://www.xbiquge.bz/book/51654/34117352.html
第二百二十六章 目标：上路大满贯！（第一更）: https://www.xbiquge.bz/book/51654/34122058.html
第二百二十七章 峰子哥就一粗人（第二更）: https://www.xbiquge.bz/book/51654/34122059.html
第二百二十八章 这就是...天赋吗？（第三更）: https://www.xbiquge.bz/book/51654/34122786.html
第二百二十九章 上帝给他打开了不只一扇窗！（第四更日常求月票求订阅）: https://www.xbiquge.bz/book/51654/34122807.html
第二百三十章 背后的大阴谋！: https://www.xbiquge.bz/book/51654/34131655.html
第二百三十一章 春之峰帝！: https://www.xbiquge.bz/book/51654/34131657.html
第二百三十二章 半决赛，最后一张门票之战！: https://www.xbiquge.bz/book/51654/34134833.html
第二百三十三章 背井离乡的祖安人！: https://www.xbiquge.bz/book/51654/34137835.html
第二百三十三章 背井离乡的祖安人！（下）: https://www.xbiquge.bz/book/51654/34158082.html
第二百三十四章 以抢代Ban？: https://www.xbiquge.bz/book/51654/34158083.html
第二百三十五章 谁说卢锡安不能留人？（十分感谢Sky浅言的五万赏）: https://www.xbiquge.bz/book/51654/34158084.html
第二百三十六章 战胜恐惧最好的方法！: https://www.xbiquge.bz/book/51654/34158085.html
第二百三十七章 面对恐惧吧！（大章）: https://www.xbiquge.bz/book/51654/34158086.html
第二百三十八章 阴影中的圣光！（万更求月票求订阅）: https://www.xbiquge.bz/book/51654/34158906.html
第二百三十九章 到底谁是刺客？: https://www.xbiquge.bz/book/51654/34164095.html
第二百四十章 一人，我吃三路！: https://www.xbiquge.bz/book/51654/34168225.html
第二百四十一章 圣枪河流刺！: https://www.xbiquge.bz/book/51654/34168226.html
第二百四十二章 整个花活！: https://www.xbiquge.bz/book/51654/34173780.html
第二百四十三章 被内定的MVP！: https://www.xbiquge.bz/book/51654/34173781.html
第二百四十四章 这个妖姬不太冷！: https://www.xbiquge.bz/book/51654/34180008.html
第二百四十五章 天道轮回，重拳出击！: https://www.xbiquge.bz/book/51654/34180009.html
第二百四十六章 峰子哥的滑铁卢？: https://www.xbiquge.bz/book/51654/34184604.html
第二百四十七章 工具人的胜利！（大章求订阅求月票）: https://www.xbiquge.bz/book/51654/34184605.html
第二百四十八章 新一代黑暗势力！: https://www.xbiquge.bz/book/51654/34189794.html
第二百四十九章 剑指总决赛！（日常求订阅求月票）: https://www.xbiquge.bz/book/51654/34189795.html
第二百五十章 春决二三事！（二合一）: https://www.xbiquge.bz/book/51654/34199609.html
第二百五十一章 LPL只有一个李哥！: https://www.xbiquge.bz/book/51654/34205882.html
第二百五十二章 屠宰与手术的区别！（求月票求订阅）: https://www.xbiquge.bz/book/51654/34205893.html
第二百五十三章 双人下饭奥利给！（二合一）: https://www.xbiquge.bz/book/51654/34212427.html
第二百五十四章 猛汉VS猛汉！: https://www.xbiquge.bz/book/51654/34228118.html
第二百五十五章 摧锋于正锐！（上）: https://www.xbiquge.bz/book/51654/34228119.html
第二百五十六章 摧锋于正锐！（下）: https://www.xbiquge.bz/book/51654/34233093.html
第二百五十七章 仙人指路，神之一脚！（求月票求订阅）: https://www.xbiquge.bz/book/51654/34233102.html
第二百五十八章 中单杀手？（第一更）: https://www.xbiquge.bz/book/51654/34249903.html
第二百五十九章 最稳的那个男人上了！（第二更）: https://www.xbiquge.bz/book/51654/34249904.html
第二百六十章 加班局，全员分奴出动！（第三更大章！）: https://www.xbiquge.bz/book/51654/34250642.html
第二百六十一章 登峰造极境！: https://www.xbiquge.bz/book/51654/34254745.html
第二百六十二章 等一个血魔降世！（求月票求订阅）: https://www.xbiquge.bz/book/51654/34254746.html
第二百六十三章 复古套路Plus！: https://www.xbiquge.bz/book/51654/34266391.html
第二百六十四章 上路拴条狗也能赢！（求订阅求月票）: https://www.xbiquge.bz/book/51654/34266392.html
第二百六十五章 工具人下路: https://www.xbiquge.bz/book/51654/34273475.html
第二百六十六章 这还不是真正的他！: https://www.xbiquge.bz/book/51654/34273492.html
第二百六十七章 泥萌是在搞我吧？: https://www.xbiquge.bz/book/51654/34282189.html
第二百六十八章 取敌恶首懒回顾，半面恶魔半面神！（上）: https://www.xbiquge.bz/book/51654/34282190.html
第二百六十九章 取敌恶首懒回顾，半面恶魔半面神！（下）: https://www.xbiquge.bz/book/51654/34286957.html
第二百七十章 永失我峰，时代变了！（求月票求订阅）: https://www.xbiquge.bz/book/51654/34286958.html
第二百七十一章 他怎么还不捧杯？: https://www.xbiquge.bz/book/51654/34291480.html
第二百七十二章 快问问可不可以重赛！（求月票求订阅）: https://www.xbiquge.bz/book/51654/34291481.html
第二百七十三章 咫尺风变！（上）: https://www.xbiquge.bz/book/51654/34296498.html
第二百七十四章 咫尺风变！（下）: https://www.xbiquge.bz/book/51654/34296499.html
第二百七十五章 成就解锁，单杀LPL所有上单！: https://www.xbiquge.bz/book/51654/34303701.html
第二百七十六章 打架队的运营！: https://www.xbiquge.bz/book/51654/34303702.html
第二百七十七章 大声告诉我，谁才是LPL第一上单！（上）: https://www.xbiquge.bz/book/51654/34309299.html
第二百七十八章 大声告诉我，谁才是LPL第一上单！（下）: https://www.xbiquge.bz/book/51654/34309300.html
第二百七十九章 我就是我，LPL唯一的李哥！（上）: https://www.xbiquge.bz/book/51654/34313920.html
第二百八十章 我就是我，LPL唯一的李哥！（下）: https://www.xbiquge.bz/book/51654/34313921.html
第二百八十一章 MSI的星辰大海！: https://www.xbiquge.bz/book/51654/34318579.html
