第3866章：望穿秋水: https://www.xbiquge.bz/book/48370/40729936.html
第3865章：批准: https://www.xbiquge.bz/book/48370/40729935.html
第3864章：爽快: https://www.xbiquge.bz/book/48370/40721218.html
第3863章：乡镇企业: https://www.xbiquge.bz/book/48370/40721217.html
第3862章：帮忙: https://www.xbiquge.bz/book/48370/40720861.html
第3861章：没有烦恼: https://www.xbiquge.bz/book/48370/40720860.html
第3860章：注意身体: https://www.xbiquge.bz/book/48370/40720552.html
第3859章：超前的名字: https://www.xbiquge.bz/book/48370/40720551.html
第3858章：送考: https://www.xbiquge.bz/book/48370/40720269.html
第3857章：夏天: https://www.xbiquge.bz/book/48370/40720268.html
第3856章：敲打: https://www.xbiquge.bz/book/48370/40719875.html
第3855章：检讨: https://www.xbiquge.bz/book/48370/40719874.html
第29章 李老三: https://www.xbiquge.bz/book/48370/30152708.html
第30章 三辆自行车: https://www.xbiquge.bz/book/48370/30152709.html
第31章 恢复高考: https://www.xbiquge.bz/book/48370/30152710.html
第32章 紧缺的复习资料: https://www.xbiquge.bz/book/48370/30152711.html
第33章 小饭馆: https://www.xbiquge.bz/book/48370/30152712.html
第34章 《数理化自学丛书》: https://www.xbiquge.bz/book/48370/30152713.html
第35章 文科还是理科: https://www.xbiquge.bz/book/48370/30152714.html
第36章 我出生时就有异象伴随: https://www.xbiquge.bz/book/48370/30152715.html
第37章 唱响1978: https://www.xbiquge.bz/book/48370/30152716.html
第38章 发生在身边的改变: https://www.xbiquge.bz/book/48370/30152717.html
第39章 英雄不问出处: https://www.xbiquge.bz/book/48370/30152718.html
第40章 员工形象: https://www.xbiquge.bz/book/48370/30152719.html
第41章 计划内，计划外: https://www.xbiquge.bz/book/48370/30152720.html
第42章 宋卫国的打算: https://www.xbiquge.bz/book/48370/30152721.html
第43章 10万（求恶魔果实）: https://www.xbiquge.bz/book/48370/30152722.html
第44章 分配任务: https://www.xbiquge.bz/book/48370/30152723.html
第45章 你怎么想的？（求恶魔果实）: https://www.xbiquge.bz/book/48370/30152724.html
第46章 写信: https://www.xbiquge.bz/book/48370/30152725.html
第4 7章 冲突: https://www.xbiquge.bz/book/48370/30152726.html
第48章 产权问题: https://www.xbiquge.bz/book/48370/30152727.html
第49章 挤大巴: https://www.xbiquge.bz/book/48370/30152728.html
第50章 坑死: https://www.xbiquge.bz/book/48370/30152729.html
第51章 葱油饼的诱惑: https://www.xbiquge.bz/book/48370/30152730.html
第52章 八一钢铁厂: https://www.xbiquge.bz/book/48370/30152731.html
第53章 招待所: https://www.xbiquge.bz/book/48370/30152732.html
第54章 高考（上）: https://www.xbiquge.bz/book/48370/30152733.html
第55章高考（下）: https://www.xbiquge.bz/book/48370/30152734.html
第56章 平反: https://www.xbiquge.bz/book/48370/30152735.html
第57章 从前慢: https://www.xbiquge.bz/book/48370/30152736.html
第58章 意外: https://www.xbiquge.bz/book/48370/30152737.html
第59章 那神医（孙V守护加更）: https://www.xbiquge.bz/book/48370/30152738.html
第60章 知青小院的伙食: https://www.xbiquge.bz/book/48370/30152740.html
第61章 父与子: https://www.xbiquge.bz/book/48370/30152741.html
第62章 出事了: https://www.xbiquge.bz/book/48370/30152742.html
第63章 我会开车: https://www.xbiquge.bz/book/48370/30152743.html
第64章 手术费: https://www.xbiquge.bz/book/48370/30152744.html
第65章 换病房: https://www.xbiquge.bz/book/48370/30152745.html
第66章 以经济发展为中心: https://www.xbiquge.bz/book/48370/30152746.html
第67章 体检: https://www.xbiquge.bz/book/48370/30152747.html
第68章 政审: https://www.xbiquge.bz/book/48370/30152748.html
第69章 狗蛋的恐惧: https://www.xbiquge.bz/book/48370/30152749.html
第70章 黎明即起，洒扫庭除！: https://www.xbiquge.bz/book/48370/30152750.html
第71章 三步学习法: https://www.xbiquge.bz/book/48370/30152751.html
第72章 投机倒把: https://www.xbiquge.bz/book/48370/30152752.html
第73章 争吵: https://www.xbiquge.bz/book/48370/30152753.html
第74章 留下的站左边，退出的站右边: https://www.xbiquge.bz/book/48370/30152754.html
第75章 股份分配: https://www.xbiquge.bz/book/48370/30152755.html
第76章 宋卫国的消息: https://www.xbiquge.bz/book/48370/30152756.html
第77章 清查小组: https://www.xbiquge.bz/book/48370/30152757.html
第78章 小偷来了，都是含着泪走的: https://www.xbiquge.bz/book/48370/30152758.html
第79章 审讯: https://www.xbiquge.bz/book/48370/30152759.html
第80章 资本家: https://www.xbiquge.bz/book/48370/30152760.html
第81章 刑讯逼供: https://www.xbiquge.bz/book/48370/30152761.html
第82章 血梅花: https://www.xbiquge.bz/book/48370/30152762.html
第83章 处理结果: https://www.xbiquge.bz/book/48370/30152763.html
第84章 二十岁生日那天: https://www.xbiquge.bz/book/48370/30152764.html
第84章 借车: https://www.xbiquge.bz/book/48370/30152765.html
第85章 永远的少了一个: https://www.xbiquge.bz/book/48370/30152766.html
第86章 想回家: https://www.xbiquge.bz/book/48370/30152767.html
第87章 送你回家: https://www.xbiquge.bz/book/48370/30152768.html
第88章 给我埋了: https://www.xbiquge.bz/book/48370/30152769.html
第89章 大余屯: https://www.xbiquge.bz/book/48370/30152770.html
第90章 遗物: https://www.xbiquge.bz/book/48370/30152771.html
第91章 践行: https://www.xbiquge.bz/book/48370/30152773.html
第92章 三杯酒: https://www.xbiquge.bz/book/48370/30152775.html
第93章 规划: https://www.xbiquge.bz/book/48370/30152777.html
第94章 串联: https://www.xbiquge.bz/book/48370/30152779.html
第95章 雪花般的举报信: https://www.xbiquge.bz/book/48370/30152780.html
第96章 终了: https://www.xbiquge.bz/book/48370/30152781.html
第97章 销售计划: https://www.xbiquge.bz/book/48370/30152782.html
第98章 得到地址: https://www.xbiquge.bz/book/48370/30152783.html
第99章宋卫国入股: https://www.xbiquge.bz/book/48370/30152784.html
第100章 达成协议: https://www.xbiquge.bz/book/48370/30152785.html
第101章 四个县（studyhard守护加更）: https://www.xbiquge.bz/book/48370/30152787.html
第102章 出发: https://www.xbiquge.bz/book/48370/30152790.html
第103章 两级代理商: https://www.xbiquge.bz/book/48370/30152791.html
第104章 李老哥（300恶魔果实加更）: https://www.xbiquge.bz/book/48370/30152793.html
第105章 考验: https://www.xbiquge.bz/book/48370/30152795.html
第106章 鸡汤: https://www.xbiquge.bz/book/48370/30152797.html
第107章 卖耗子药的周朝南（300恶魔果实加更）: https://www.xbiquge.bz/book/48370/30152798.html
第108章 筹备: https://www.xbiquge.bz/book/48370/30152799.html
第109章 11块钱: https://www.xbiquge.bz/book/48370/30152800.html
第110章 气场: https://www.xbiquge.bz/book/48370/30154705.html
第111章 疯狂: https://www.xbiquge.bz/book/48370/30154706.html
第112章 逼迫（900恶魔果实加更）: https://www.xbiquge.bz/book/48370/30154707.html
第113章 28个小商贩，28个代理商: https://www.xbiquge.bz/book/48370/30201527.html
第114章 发展计划: https://www.xbiquge.bz/book/48370/30201528.html
第115章 生产线（900恶魔果实加更）: https://www.xbiquge.bz/book/48370/30201529.html
第116章 第一批员工: https://www.xbiquge.bz/book/48370/30297536.html
第117章 埋下一颗种子: https://www.xbiquge.bz/book/48370/30297537.html
第118章 琐事（恶魔果实900加更）: https://www.xbiquge.bz/book/48370/30297538.html
第119章 开工: https://www.xbiquge.bz/book/48370/30297539.html
第120章 烫水烫嘴: https://www.xbiquge.bz/book/48370/30297540.html
第121章 生产线的消息: https://www.xbiquge.bz/book/48370/30326663.html
第122章 秋收改革: https://www.xbiquge.bz/book/48370/30326664.html
第123章 包场（1000恶魔果实加更）: https://www.xbiquge.bz/book/48370/30326665.html
第124章 魄力: https://www.xbiquge.bz/book/48370/30349681.html
第125章 老同学相聚: https://www.xbiquge.bz/book/48370/30349682.html
第126章 考察: https://www.xbiquge.bz/book/48370/30354567.html
第127章 好欺负: https://www.xbiquge.bz/book/48370/30354568.html
第128章 生产线到手: https://www.xbiquge.bz/book/48370/30365844.html
第129章 肖县: https://www.xbiquge.bz/book/48370/30365845.html
第130章 扬眉吐气（1100恶魔果实加更）: https://www.xbiquge.bz/book/48370/30365846.html
第131章 详解家庭联产承包责任制（1200恶魔果实加）: https://www.xbiquge.bz/book/48370/30365847.html
第132章 国企和私企: https://www.xbiquge.bz/book/48370/30372470.html
第133章 债多了不愁: https://www.xbiquge.bz/book/48370/30372471.html
第134章 既生瑜何生亮（恶魔果实1300加更）: https://www.xbiquge.bz/book/48370/30372472.html
第135章 任命: https://www.xbiquge.bz/book/48370/30388407.html
第136章 谈话: https://www.xbiquge.bz/book/48370/30388408.html
第137章开业（一）恶魔果实1400加更: https://www.xbiquge.bz/book/48370/30388409.html
第138章开业（二）: https://www.xbiquge.bz/book/48370/30397189.html
第139章 开业（三）: https://www.xbiquge.bz/book/48370/30397190.html
第140章 发火: https://www.xbiquge.bz/book/48370/30417883.html
第141章 计件制度: https://www.xbiquge.bz/book/48370/30417884.html
第142章工厂制度: https://www.xbiquge.bz/book/48370/30431773.html
第143章 反对: https://www.xbiquge.bz/book/48370/30431774.html
第144章两块牌子，一套人马: https://www.xbiquge.bz/book/48370/30441405.html
第145章 关门: https://www.xbiquge.bz/book/48370/30441407.html
第146章 张宝峰: https://www.xbiquge.bz/book/48370/30449042.html
第147章 求情: https://www.xbiquge.bz/book/48370/30449043.html
第148章 给你机会不中用: https://www.xbiquge.bz/book/48370/30465232.html
第149章 打趴下扶起来: https://www.xbiquge.bz/book/48370/30465233.html
第150章 移树: https://www.xbiquge.bz/book/48370/30473978.html
第151章 羡慕: https://www.xbiquge.bz/book/48370/30473979.html
第152章 第二次代理商大会（一）: https://www.xbiquge.bz/book/48370/30491010.html
第153章 第二次代理商大会（二）: https://www.xbiquge.bz/book/48370/30491011.html
第154章 考验和锻炼: https://www.xbiquge.bz/book/48370/30499936.html
第155章 回款: https://www.xbiquge.bz/book/48370/30499937.html
第156章 联营: https://www.xbiquge.bz/book/48370/30507653.html
第157章 忽悠懵逼了: https://www.xbiquge.bz/book/48370/30507654.html
第158章 做准备: https://www.xbiquge.bz/book/48370/30517564.html
第159章 不同寻常的会议: https://www.xbiquge.bz/book/48370/30517565.html
第160章 干了: https://www.xbiquge.bz/book/48370/30533819.html
第161章 量地: https://www.xbiquge.bz/book/48370/30533820.html
第162章 整整12分钟的掌声: https://www.xbiquge.bz/book/48370/30538753.html
第163章 吃的死死的: https://www.xbiquge.bz/book/48370/30538754.html
第164章 分地（一百恶魔果实加更）: https://www.xbiquge.bz/book/48370/30538755.html
第165章 1978年12月18日: https://www.xbiquge.bz/book/48370/30548839.html
第166章 确保上交，欠收自负: https://www.xbiquge.bz/book/48370/30548840.html
第167章 新年礼物（恶魔果实200加更）: https://www.xbiquge.bz/book/48370/30548841.html
第168章 六万: https://www.xbiquge.bz/book/48370/30555037.html
第169章 全票通过: https://www.xbiquge.bz/book/48370/30555038.html
第170章 跑路躲债（300恶魔果实加更）: https://www.xbiquge.bz/book/48370/30555039.html
第171章 回家: https://www.xbiquge.bz/book/48370/30574170.html
第172章 各走特点的七兄妹: https://www.xbiquge.bz/book/48370/30574171.html
第173章 姜母的偏爱（400恶魔果实加更）: https://www.xbiquge.bz/book/48370/30574172.html
第174章 挑战失败: https://www.xbiquge.bz/book/48370/30587381.html
第175章 大姐: https://www.xbiquge.bz/book/48370/30587382.html
第176章 外星人（500恶魔果实加更）: https://www.xbiquge.bz/book/48370/30587383.html
第177章 傻孩子: https://www.xbiquge.bz/book/48370/30596349.html
第178章 过年: https://www.xbiquge.bz/book/48370/30596350.html
第179章 返回建华村（守护加更）: https://www.xbiquge.bz/book/48370/30596351.html
第180章 虚惊一场: https://www.xbiquge.bz/book/48370/30624078.html
第181章 新年规划: https://www.xbiquge.bz/book/48370/30624079.html
第182章 三百六十行，行行出状元（600恶魔果实加更）: https://www.xbiquge.bz/book/48370/30624080.html
第183章 姜小白服装厂: https://www.xbiquge.bz/book/48370/30685171.html
第184章 你目光要长远一点: https://www.xbiquge.bz/book/48370/30685172.html
第185章 工资（700恶魔果实加更）: https://www.xbiquge.bz/book/48370/30685173.html
第186章 改变: https://www.xbiquge.bz/book/48370/30701373.html
第187章 UFO协会: https://www.xbiquge.bz/book/48370/30701374.html
第188章 不用白不用: https://www.xbiquge.bz/book/48370/30721305.html
第189章 突然后悔: https://www.xbiquge.bz/book/48370/30721306.html
第190章 火锅: https://www.xbiquge.bz/book/48370/30753370.html
第191章 天无绝人之路: https://www.xbiquge.bz/book/48370/30753371.html
第192章 巧遇: https://www.xbiquge.bz/book/48370/30762080.html
第193章 这么的不凡: https://www.xbiquge.bz/book/48370/30762081.html
第194章士为知己者死: https://www.xbiquge.bz/book/48370/30778528.html
第195章人呢？: https://www.xbiquge.bz/book/48370/30778529.html
第196章 交钱（上）: https://www.xbiquge.bz/book/48370/30789290.html
第197章 交钱（下）: https://www.xbiquge.bz/book/48370/30789291.html
第198章 销售: https://www.xbiquge.bz/book/48370/30805185.html
第199章专业: https://www.xbiquge.bz/book/48370/30805186.html
第200章 反差太大: https://www.xbiquge.bz/book/48370/30846149.html
第201章 怎么把梳子卖给和尚: https://www.xbiquge.bz/book/48370/30846150.html
第202章 扯淡呢: https://www.xbiquge.bz/book/48370/30874331.html
第203章 污水排放问题: https://www.xbiquge.bz/book/48370/30874332.html
第204章全新的课题: https://www.xbiquge.bz/book/48370/30892198.html
第205章 课题研究: https://www.xbiquge.bz/book/48370/30892199.html
第206章 士别三日: https://www.xbiquge.bz/book/48370/30910475.html
第207章 打杂的: https://www.xbiquge.bz/book/48370/30910476.html
第208章 个体工商业开放注册: https://www.xbiquge.bz/book/48370/30936756.html
第209章 去上学: https://www.xbiquge.bz/book/48370/30936757.html
第210章上马乡高中: https://www.xbiquge.bz/book/48370/30972869.html
第211章 换宿舍: https://www.xbiquge.bz/book/48370/30972870.html
第212章 难忘沟: https://www.xbiquge.bz/book/48370/30972871.html
第213章 由奢入俭难: https://www.xbiquge.bz/book/48370/30972873.html
第214章 大手大脚: https://www.xbiquge.bz/book/48370/30972874.html
第215章 工程进度: https://www.xbiquge.bz/book/48370/30972875.html
第216章 经济元素复苏: https://www.xbiquge.bz/book/48370/30972876.html
第217章 尝尝: https://www.xbiquge.bz/book/48370/30972877.html
第218章 我要结婚了: https://www.xbiquge.bz/book/48370/30972879.html
第219章 营业执照: https://www.xbiquge.bz/book/48370/30972882.html
第220章 请假: https://www.xbiquge.bz/book/48370/31023746.html
第221章 我有保送名额: https://www.xbiquge.bz/book/48370/31023747.html
第222章 多出去走走看看: https://www.xbiquge.bz/book/48370/31037187.html
第223章 真实原因: https://www.xbiquge.bz/book/48370/31037188.html
第224章 威胁: https://www.xbiquge.bz/book/48370/31045207.html
第225章 两瓶酒: https://www.xbiquge.bz/book/48370/31045208.html
第226章 称重装车: https://www.xbiquge.bz/book/48370/31056857.html
第227章 回村: https://www.xbiquge.bz/book/48370/31056858.html
第228章 想明白了: https://www.xbiquge.bz/book/48370/31065668.html
第229章 飚戏: https://www.xbiquge.bz/book/48370/31065669.html
第230章 第二次高考: https://www.xbiquge.bz/book/48370/31074236.html
第231章 两个系列: https://www.xbiquge.bz/book/48370/31074237.html
第232章 刘美华: https://www.xbiquge.bz/book/48370/31085435.html
第233章 三响一转: https://www.xbiquge.bz/book/48370/31085436.html
第234章 正常吗？: https://www.xbiquge.bz/book/48370/31093039.html
第235章 高考成绩公布: https://www.xbiquge.bz/book/48370/31093040.html
第236章 全省理科状元: https://www.xbiquge.bz/book/48370/31103896.html
第237章 反应: https://www.xbiquge.bz/book/48370/31103897.html
第238章 和有钱人说话真累: https://www.xbiquge.bz/book/48370/31117409.html
第239章 谁发明的自行车: https://www.xbiquge.bz/book/48370/31117410.html
第240章 出门了: https://www.xbiquge.bz/book/48370/31142764.html
第241章 双喜临门: https://www.xbiquge.bz/book/48370/31142765.html
第242章 家庭气氛: https://www.xbiquge.bz/book/48370/31181836.html
第243章 开心的姜家人: https://www.xbiquge.bz/book/48370/31181837.html
第244章 做报告: https://www.xbiquge.bz/book/48370/31235781.html
第245章 妈怕你找不见路: https://www.xbiquge.bz/book/48370/31235783.html
第246章 赵心怡: https://www.xbiquge.bz/book/48370/31248292.html
第247章邀请: https://www.xbiquge.bz/book/48370/31248293.html
第248章 姜母的接班问题: https://www.xbiquge.bz/book/48370/31259111.html
第249章 宋卫国的感触: https://www.xbiquge.bz/book/48370/31259112.html
第250章 临行前会议: https://www.xbiquge.bz/book/48370/31267515.html
第251章 知青罐头厂的上半年盈利: https://www.xbiquge.bz/book/48370/31267516.html
第252章下半年规划: https://www.xbiquge.bz/book/48370/31275661.html
第253章 小白厂长，我们等你回来: https://www.xbiquge.bz/book/48370/31275662.html
第254章 游子: https://www.xbiquge.bz/book/48370/31284497.html
第255章 上车没门: https://www.xbiquge.bz/book/48370/31284498.html
第256章 相见: https://www.xbiquge.bz/book/48370/31292944.html
第257章 娇艳: https://www.xbiquge.bz/book/48370/31292945.html
第258章 天文学: https://www.xbiquge.bz/book/48370/31299799.html
第259章 206寝室: https://www.xbiquge.bz/book/48370/31299800.html
第260章天文系的宝贝: https://www.xbiquge.bz/book/48370/31306300.html
第261章天文系现状: https://www.xbiquge.bz/book/48370/31306301.html
第262章 别打我（孙哥精油打赏加更）: https://www.xbiquge.bz/book/48370/31306847.html
第263章 群情激奋: https://www.xbiquge.bz/book/48370/31335534.html
第264章 天文系的力量: https://www.xbiquge.bz/book/48370/31335535.html
第265章 无可辩驳: https://www.xbiquge.bz/book/48370/31417520.html
第266章 处理结果: https://www.xbiquge.bz/book/48370/31417521.html
第267章 交接: https://www.xbiquge.bz/book/48370/31449388.html
第268章 学生会职责: https://www.xbiquge.bz/book/48370/31449389.html
第269章 新的学生会框架: https://www.xbiquge.bz/book/48370/31518503.html
第270章 学生会变化: https://www.xbiquge.bz/book/48370/31518504.html
第271章 你们怎么了？: https://www.xbiquge.bz/book/48370/31551874.html
第272章 姜部长: https://www.xbiquge.bz/book/48370/31551875.html
第273章 招聘开始: https://www.xbiquge.bz/book/48370/31593025.html
第274章 流氓: https://www.xbiquge.bz/book/48370/31593026.html
第275章 面试问题: https://www.xbiquge.bz/book/48370/31619329.html
第276章 无组织，无纪律: https://www.xbiquge.bz/book/48370/31619330.html
第278章 名单公布: https://www.xbiquge.bz/book/48370/31632759.html
第279章 任务安排: https://www.xbiquge.bz/book/48370/31632760.html
第280章 以身作则: https://www.xbiquge.bz/book/48370/31667363.html
第281章 计划受阻: https://www.xbiquge.bz/book/48370/31667364.html
第282章 被晾了: https://www.xbiquge.bz/book/48370/31699305.html
第283章 豆腐块: https://www.xbiquge.bz/book/48370/31699306.html
第284章 杠上了: https://www.xbiquge.bz/book/48370/31730956.html
第285章 拍照: https://www.xbiquge.bz/book/48370/31730957.html
第286章 点名: https://www.xbiquge.bz/book/48370/31746454.html
第287章 玩我: https://www.xbiquge.bz/book/48370/31746455.html
第288章 倒霉的刘丽江: https://www.xbiquge.bz/book/48370/31756990.html
第289章 报复回来: https://www.xbiquge.bz/book/48370/31756991.html
第290章 天文观测: https://www.xbiquge.bz/book/48370/31802672.html
第291章 忽悠李锋: https://www.xbiquge.bz/book/48370/31802673.html
第292章 过分: https://www.xbiquge.bz/book/48370/31848079.html
第293章 细节决定成败: https://www.xbiquge.bz/book/48370/31848080.html
第294章声讨: https://www.xbiquge.bz/book/48370/31879551.html
第295章 逛街: https://www.xbiquge.bz/book/48370/31879552.html
第296章 1979的京城: https://www.xbiquge.bz/book/48370/31888314.html
第297章 黄牛周国民: https://www.xbiquge.bz/book/48370/31888315.html
第298章 天上掉馅饼: https://www.xbiquge.bz/book/48370/31898026.html
第299章 喝酒: https://www.xbiquge.bz/book/48370/31898027.html
第300章 自行车票: https://www.xbiquge.bz/book/48370/31912719.html
第301章 白色小人黄色小人: https://www.xbiquge.bz/book/48370/31912720.html
第302章 配车: https://www.xbiquge.bz/book/48370/31934499.html
第303章 迎新生晚会: https://www.xbiquge.bz/book/48370/31934500.html
第304章 别烧过头了: https://www.xbiquge.bz/book/48370/31941270.html
第305章 我的未来不是梦: https://www.xbiquge.bz/book/48370/31941271.html
第306章 宋卫国到京城: https://www.xbiquge.bz/book/48370/31949087.html
第307章 争论: https://www.xbiquge.bz/book/48370/31949088.html
第308章 学习: https://www.xbiquge.bz/book/48370/31967646.html
第309章 水木，京大: https://www.xbiquge.bz/book/48370/31967647.html
第310章 介绍经验: https://www.xbiquge.bz/book/48370/31983169.html
第311章 新饲料: https://www.xbiquge.bz/book/48370/31983170.html
第312章 老张: https://www.xbiquge.bz/book/48370/31993383.html
第313章 七分真三分假: https://www.xbiquge.bz/book/48370/31993384.html
第314章 买票: https://www.xbiquge.bz/book/48370/31998637.html
第315章 争吵: https://www.xbiquge.bz/book/48370/32003712.html
公告：网站活动: https://www.xbiquge.bz/book/48370/32003713.html
第316章 不大: https://www.xbiquge.bz/book/48370/32026891.html
第317章 回村: https://www.xbiquge.bz/book/48370/32026892.html
第318章 未来会越来越好: https://www.xbiquge.bz/book/48370/32058064.html
第319章 宝刀未老: https://www.xbiquge.bz/book/48370/32058065.html
第320章 新兴饲料厂: https://www.xbiquge.bz/book/48370/32065674.html
第321章 原料问题: https://www.xbiquge.bz/book/48370/32065675.html
第322章 命运的蝴蝶: https://www.xbiquge.bz/book/48370/32076533.html
第323章 刘健回校: https://www.xbiquge.bz/book/48370/32076534.html
第324章 打量: https://www.xbiquge.bz/book/48370/32088932.html
第325章 品牌形象: https://www.xbiquge.bz/book/48370/32088933.html
第326章 搞定: https://www.xbiquge.bz/book/48370/32101839.html
第327章 张卫义: https://www.xbiquge.bz/book/48370/32101840.html
第328章 是设备值5%: https://www.xbiquge.bz/book/48370/32114501.html
第329章 又忽悠一个: https://www.xbiquge.bz/book/48370/32114502.html
第330章 设计图: https://www.xbiquge.bz/book/48370/32127122.html
第331章 我不紧张: https://www.xbiquge.bz/book/48370/32127123.html
第332章 再哼哼: https://www.xbiquge.bz/book/48370/32139826.html
第333章 厉害: https://www.xbiquge.bz/book/48370/32139827.html
第334章 装修: https://www.xbiquge.bz/book/48370/32147845.html
第335章 能帮就帮一把: https://www.xbiquge.bz/book/48370/32147846.html
第336章 招聘服务员: https://www.xbiquge.bz/book/48370/32156911.html
第337章 李家的变化: https://www.xbiquge.bz/book/48370/32156912.html
第338章 小老板: https://www.xbiquge.bz/book/48370/32171112.html
第339章 两条路: https://www.xbiquge.bz/book/48370/32171113.html
第340章 接货: https://www.xbiquge.bz/book/48370/32179221.html
第341章 东家赏的席面: https://www.xbiquge.bz/book/48370/32179222.html
第342章开业前准备: https://www.xbiquge.bz/book/48370/32187745.html
第343章 开业（上）: https://www.xbiquge.bz/book/48370/32187746.html
第344章 开业（下）加更: https://www.xbiquge.bz/book/48370/32187747.html
第345章打开市场: https://www.xbiquge.bz/book/48370/32196069.html
第346章 被堵了: https://www.xbiquge.bz/book/48370/32196070.html
第347章 两件衣服: https://www.xbiquge.bz/book/48370/32210533.html
第348章 这衣服好看: https://www.xbiquge.bz/book/48370/32211158.html
第349章 国退民进: https://www.xbiquge.bz/book/48370/32222333.html
第350章 我不是经济系的: https://www.xbiquge.bz/book/48370/32222334.html
第351章 拒绝: https://www.xbiquge.bz/book/48370/32238299.html
第352章 小李子瞎打听: https://www.xbiquge.bz/book/48370/32238300.html
第353章 红旗轿车（加一更）: https://www.xbiquge.bz/book/48370/32238301.html
第354章 外汇（加两更）: https://www.xbiquge.bz/book/48370/32238302.html
第355章 大兴玻璃厂: https://www.xbiquge.bz/book/48370/32260641.html
第356章 浮法玻璃: https://www.xbiquge.bz/book/48370/32260642.html
第357章 涮羊肉（加一更）: https://www.xbiquge.bz/book/48370/32260643.html
第358章 张江风（加两更）: https://www.xbiquge.bz/book/48370/32260644.html
第359章 最后一节课: https://www.xbiquge.bz/book/48370/32286532.html
第360章 送车: https://www.xbiquge.bz/book/48370/32286533.html
第361章 威慑力: https://www.xbiquge.bz/book/48370/32286534.html
第362章 时代的碰撞: https://www.xbiquge.bz/book/48370/32286535.html
第363章嘎斯24: https://www.xbiquge.bz/book/48370/32299210.html
第364章 飘了: https://www.xbiquge.bz/book/48370/32299211.html
第365章 请客（园林防腐木业守护加更）: https://www.xbiquge.bz/book/48370/32299457.html
第366章 敲锣打鼓: https://www.xbiquge.bz/book/48370/32310155.html
第367章 诡异的安静: https://www.xbiquge.bz/book/48370/32310156.html
第368章 上任（求恶魔果实））: https://www.xbiquge.bz/book/48370/32310157.html
第369章账本（求恶魔果实）: https://www.xbiquge.bz/book/48370/32310158.html
第370章堵后勤科（求恶魔果实）: https://www.xbiquge.bz/book/48370/32310159.html
第371章二货: https://www.xbiquge.bz/book/48370/32312052.html
第372章呵斥: https://www.xbiquge.bz/book/48370/32312053.html
第373章闭嘴: https://www.xbiquge.bz/book/48370/32312054.html
第374章 金厂长，你看怎么办？: https://www.xbiquge.bz/book/48370/32320721.html
第375章 处理结果: https://www.xbiquge.bz/book/48370/32320722.html
第376章不对劲（求恶魔果实）: https://www.xbiquge.bz/book/48370/32320723.html
